,품목고시 명칭에 따른 보조기기 영역,,
,,,
,연번,품목고시 명칭,보조기기 영역
,275,분리형 후크 및 집게 기능을 하는 기타 말단기구,ADL
,276,분변물 방지 장치,ADL
,277,불수의 대변실금 방지용 보조기기,ADL
,278,불수의적 요실금 방지용 보조기기,ADL
,279,브라우저 소프트웨어,CA
,280,블라우스 및 셔츠,ADL
,281,비 액상약품 관리를 위한  보조기기,ADL
,282,비고정식 기립용 지지대,ADL
,283,비누 고정장치 및 비누 용기,ADL
,284,비데,ADL
,285,비디오 녹화 및 재생 장치,S
,286,비디오 자막 및 자막 텔레비전 해독기,S
,287,비신체착용형 소변기 및 병,ADL
,288,비휴대용 데스크톱 컴퓨터,CA
,289,빗과 머리카락 브러시,ADL
,290,빛으로 감각을 자극하는 보조기기,ADL
,291,빨래집게,ADL
,292,사격용 보조기기,L
,293,사냥용 보조기기,L
,294,사다리 및 발판 사다리,EC
,295,사다리식 손잡이,ADL
,296,"사람을 제외한, 질량 측정용 보조기기 및 도구",ADL
,297,사무용 기기 및 장비,ADL
,298,사무용 및 산업용 소프트웨어,CA
,299,사물의 고정 및 운반용 휠체어 부착 장치,"ADL, WC"
,300,사회화 훈련용 보조기기,ADL
,301,산소 공급장치,ADL
,302,삼륜 모페드 및 오토바이,L
,303,상품 생산 및 가공 기계류,ADL
,304,색상 측정 보조기기 및 도구,EC
,305,샤워기 및 샤워장치,ADL
,306,서기 및 앉기를 보조하기 위하여 거상 장치가 내장된 변기 좌석,ADL
,307,"서명용 가이드, 도장, 필기용 프레임",ADL
,308,선반,EC
,309,"선반, 찬장, 캐비닛의 설치",EC
,310,선택적 자외선 광치료(SUP) 및 자외선 B(UVB) 램프,ADL
,311,설계 및 제도용 탁자,ADL
,312,"섬유 수공예용 도구, 재료, 장비",L
,313,성 교육 및 성 재활을 위한 보조기기,ADL
,314,성 활동용 인체모형,ADL
,315,성 활동용 진동기,ADL
,316,성인용 일회용 기저귀,ADL
,317,성형된 남성용 일회용  소변 흡수용 패드,ADL
,318,세면기,ADL
,319,세척 및 껍질손질용 보조기기,ADL
,320,세탁건조용 보조기기,ADL
,321,세탁기,ADL
,322,세탁용 탈수기,ADL
,323,세탁용 흡수형 요실금  제품,ADL
,324,세포성장 자극용 보조기기,ADL
,325,소독제,ADL
,326,소리로 감각을 자극하는 보조기기,"S, ADL"
,327,소리증폭기,S
,328,소변 분석 장비,ADL
,329,소변 수집 장치,ADL
,330,소변 수집용 현가 및 조임 장치,ADL
,331,소변 활송장치,ADL
,332,소아용 세탁용 흡수성 요실금 제품,ADL
,333,소아용 일회용 요실금 속옷,ADL
,334,소아용 일회용 요실금 제품,ADL
,335,소음 감소용 보조기기,EC
,336,소음 수준 측정용 보조기기 및 도구,EC
,337,속눈썹과 눈썹,ADL
,338,속도 제어용 차량 액세서리 및 개조용품,AM
,339,속옷,ADL
,340,손 및 손가락의 관절 부분품,ADL
,341,손 바느질용 보조기기,ADL
,342,손 보조기,ADL
,343,손 보호용 보조기기,ADL
,344,손 추진 3륜 및 4륜 자전거,L
,345,손 추진 자전거,L
,346,손가락 및 손 운동장치,ADL
,347,손가락 보조기,ADL
,348,손목 장치,ADL
,349,손목관절,ADL
,350,손목관절 의지,ADL
,351,손목-손 보조기,ADL
,352,손발톱 솔,ADL
,353,손발톱용 가위 및 손발톱깎기,ADL
,354,손발톱용 줄,ADL
,355,손-손가락 동력 보조형  보조기,ADL
,356,손-손가락 보조기,ADL
,357,"솔, 스펀지, 섀미가죽, 먼지떨이, 바닥걸레",ADL
,358,송수신 겸용 무전기,S
,359,수동 손 공구,ADL
,360,수동 점자 기록 장비,S
,361,수동 조작용 팔 지지대,"WC, SP, CA, ADL"
,362,수동 쥐기 집게,ADL
,363,수동 휠체어용 추진 장치,WC
,364,수동식 기립형 이동 장치,WC
,365,수동식 리프팅 운반차,EC
,366,수동식 산업 운송 장비,EC
,367,수술 후 인공항문 주머니 및 액세서리,ADL
,368,수영 및 수상 스포츠용 보조기기,L
,369,수학 및 물리과학 교육용 보조기기,ADL
,370,수화 훈련용 보조기,S
,371,스위치 (켜고 끄기 및 기타 기능),CA
,372,스위치판,CA
,373,스타킹 및 양말,ADL
,374,스탠드,ADL
,375,승강 및 경사 시스템,ADL
,376,승강기,EC
,377,승마용 보조기기,L
,378,시각 디스플레이,"S, CA"
,379,시각 방향 안내용 도구,S
,380,"시간, 활동 및 개인 목표의 구조화를 위한 보조기기",ADL
,381,시간의 이해 훈련용 보조기기,ADL
,382,시야의 범위 및 각도의 확장 및 조절용 보조기기,S
,383,시청각 시스템용 액세서리,S
,384,식기 세척기,ADL
,385,식탁,ADL
,386,신발 및 장화,ADL
,387,신발 및 장화용 미끄럼방지 보조기기,ADL
,388,신발 세척 장치,ADL
,389,신체 검사 및 평가 재료,ADL
,390,신체 보호 및 지지용 원예 보조기기,ADL
,391,"신체 안정용 좌석 벨트, 벨트, 하니스",SP
,392,신체 착용식 잡기장치,ADL
,393,신체접촉으로 감각을 자극하는 보조기기,ADL
,394,신호 장치,S
,395,실금 경보기,ADL
,396,실내 기후 조절용 보조기기,EC
,397,실내 원예 및 꽃꽂이용 도구,ADL
