,,,,,,,,,,,          ,,,
구분,과목,영역,품목코드,품목 및 제품명,센터입고일,가격,재원정보,구입처,사용위치,폐기일자,고장/수리 폐기 여부,구성물품,비고,이미지
54,보조기기,이동,GWAT-19-WC-04,접이식 전동스쿠터 S19,2019년 12월 23일,"1,850,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,접이식 전동스쿠터 본체,충전기 확인,
55,보조기기,이동,GWAT-19-WC-05,전동휠체어 나래210,2019년 12월 23일,"1,760,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,전동휠체어 나래 본체,충전기 확인,
56,보조기기,이동,GWAT-19-WC-06,라이트닝 전동휠체어(틸팅),2019년 12월 23일,"3,330,000",구입,㈜에이블라이프,2층 상담실 밖,폐기대상아님,정상,전동휠체어 본체,,
57,보조기기,이동,GWAT-19-WC-07,"
미키코리아 C2 활동형 휠체어",2019년 12월 23일,"820,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,활동형 휠체어 본체,,
58,보조기기,이동,GWAT-19-WC-08,"
휠로피아 KP80 스탠딩휠체어",2019년 12월 23일,"5,720,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,스탠딩 휠체어 본체,,
59,보조기기,레저,GWAT-19-L-01,해변용휠체어 히프캄프,2019년 12월 23일,"4,990,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,"1. 헤드레스트
2. 팔받침대
3. 허리벨트",,
60,보조기기,이동,GWAT-19-WC-09,빙고(사이즈: 2),2019년 12월 23일,"4,340,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,빙고 본체,,
61,보조기기,이동,GWAT-19-WC-10,WRB(사이즈: 중),2019년 12월 23일,"2,120,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상, WRB 본체,,
62,보조기기,이동,GWAT-19-WC-11,"메이저엘리트
 (장애아동용 수동휠체어/맥클라렌)",2019년 12월 23일,"580,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,메이저엘리트 본체,,
63,보조기기,일상생활, GWAT-19-ADL-19,아놀드150,2019년 12월 23일,"1,870,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. 슬링
2. 충전기",,
64,보조기기,이동,GWAT-19-WC-12,AFC1300,2019년 12월 23일,"1,890,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,AFC 본체,,
65,보조기기,일상생활, GWAT-19-ADL-20,"APC-8201
 (초저상 전동침대)",2019년 12월 23일,"2,060,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. 리모컨
2. 사이드 레일
3. 전동침대 본체 ",,
66,보조기기,일상생활, GWAT-19-ADL-21,"나이팅게일 03
 (미끄럼방지매트)",2019년 12월 23일,"50,000",구입,㈜에이블라이프,,폐기대상아님,정상,,,
67,보조기기,이동,GWAT-19-WC-13,나이스워커 4S,2019년 12월 23일,"220,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,나이스 워커 본체,,
68,보조기기,이동,GWAT-19-WC-14,"님보 후방지지워커
 아동용",2019년 12월 23일,"480,000",구입,㈜에이블라이프,어린이병동 전시실,폐기대상아님,정상," 후방지지대 본체, 골반지지대",,
69,보조기기,이동,GWAT-19-WC-15,케어스틱 지팡이,2019년 12월 23일,"50,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,케어스틱 지팡이 본체 ,,
70,보조기기,일상생활, GWAT-19-ADL-22,흡착식 이동손잡이(21cm),2019년 12월 23일,"230,000",구입,㈜에이블라이프,"2층 전시실 
- ADL(수납장)",폐기대상아님,정상,이동손잡이 본체,,
71,보조기기,일상생활, GWAT-19-ADL-23,안전손잡이 ASH-201,2019년 12월 23일,"170,000",구입,㈜에이블라이프,,폐기대상아님,정상,,대여상태,
72,보조기기,일상생활, GWAT-19-ADL-24,안전손잡이 DGP-0002,2019년 12월 23일,"120,000",구입,㈜에이블라이프,,폐기대상아님,정상,,대여상태,
73,보조기기,자세유지,GWAT-19-SP-06,"버티칼스탠드 
 미어켓 (2단계)",2019년 12월 23일,"3,400,000",구입,㈜에이블라이프,,폐기대상아님,정상,,,
74,보조기기,자세유지,GWAT-19-SP-07,코지수파인스탠더(전동),2019년 12월 23일,"1,410,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,코지수파인스텐더 본품,,
75,보조기기,자세유지,GWAT-19-SP-08,코지베이직체어(중),2019년 12월 23일,"450,000",구입,㈜에이블라이프,1층 전시실,폐기대상아님,정상,코지베이직체어(중) 본품,,
76,보조기기,자세유지,GWAT-19-SP-09,"쿠션체어(중)
<그래비티 체어>",2019년 12월 23일,"1,310,000",구입,㈜에이블라이프,어린이병동 전시실,폐기대상아님,정상,쿠션체어 본품,,
77,보조기기,자세유지,GWAT-19-SP-10,텀블폼 피더시트 (소),2019년 12월 23일,"480,000",구입,㈜에이블라이프,어린이병동 전시실,폐기대상아님,정상,"1. 피더시트 본품
2. 받침대",,
78,보조기기,자세유지,GWAT-19-SP-11,텀블폼 피더시트 (중),2019년 12월 23일,"570,000",구입,㈜에이블라이프,1층 전시실 ,폐기대상아님,정상,"1. 피더시트 본품
2. 받침대",,
79,보조기기,자세유지,GWAT-19-SP-12, 텀블폼 피더시트 (대),2019년 12월 23일,"730,000",구입,㈜에이블라이프,2층 전시실-SP,폐기대상아님,정상,"1. 피더시트 본품
2. 받침대",,
80,보조기기,의사소통,GWAT-19-AAC-03,빅스텝바이스텝,2019년 12월 23일,"30,000",구입,㈜에이블라이프,2층 전시실 - S,폐기대상아님,정상,본체,작동이 안됨. 건전지 교체 필요,
81,보조기기,의사소통,GWAT-19-AAC-04,토커블4 (TalkAble4구),2019년 12월 23일,"290,000",구입,㈜에이블라이프,2층 전시실 - S,폐기대상아님,정상,토커블 본체,,
82,보조기기,의사소통,GWAT-19-AAC-05,go talk 9+,2019년 12월 23일,"340,000",구입,㈜에이블라이프,2층 전시실 - S,폐기대상아님,정상,"GoTalk9+ 본체,
메세지카드 7개 (5개 인쇄본, 2개 본품) , 
aa배터리 2개",,
83,보조기기,의사소통,GWAT-19-AAC-06,Tactile Symbol Communicator,2019년 12월 23일,"850,000",구입,㈜에이블라이프,2층 전시실 - S,폐기대상아님,정상,1. Tactile symbol Communicator 본체,작동 안됨. 건전지 확인 필요,
84,보조기기,의사소통,GWAT-19-AAC-07,마이토키 스마트,2019년 12월 23일,"1,100,000",구입,㈜에이블라이프,2층 전시실 - s,폐기대상아님,정상,"1. 마이토키스마트 본체
2. 설명서
3. 갤럭시탭",,
85,보조기기,자세유지,GWAT-19-SP-13,캐롯카시트(CARROT Ⅲ),2019년 12월 23일,"1,440,000",구입,㈜에이블라이프,어린이 병동 전시실,폐기대상아님,정상,사용설명서,,
86,보조기기,자세유지,GWAT-19-SP-14,GD EVO FIX 카시트,2019년 12월 23일,"550,000",구입,㈜에이블라이프,어린이 병동 전시실,폐기대상아님,정상,사용설명서 ,,
87,보조기기,이동,GWAT-19-WC-16,KE-CHAIR(긴급피난용 계단의자),2019년 12월 23일,"1,670,000",구입,㈜에이블라이프,지하,폐기대상아님,정상,KE-CHAIR 본체,,
88,보조기기,감각,GWAT-19-S-14,닷워치,2019년 12월 24일,"352,000",구입,케어라이프코리아㈜,2층 전시실 - S,폐기대상아님,정상,"1. 닷워치 본체
2. 충전기",,
89,보조기기,자세유지,GWAT-19-SP-15,프리폼 로우백 키트,2019년 12월 24일,"2,700,000",구입,케어라이프코리아㈜,2층 전시실 - WC,폐기대상아님,정상,프리폼 로우백 키트 본체,,
90,보조기기,일상생활, GWAT-19-ADL-25,잇웰 치매노인보조식기,2019년 12월 24일,"260,000",구입,케어라이프코리아㈜,2층 전시실 - ADL(수납장),폐기대상아님,정상,치매노인보조식기 ,"식기 2개
수저 2개
컵 2개",
91,보조기기,의사소통,GWAT-19-AAC-08,퀵토커23,2019년 12월 24일,"328,000",구입,케어라이프코리아㈜,2층 전시실 - S,폐기대상아님,정상,Quicktalker23 본체,,
92,보조기기,일상생활, GWAT-19-ADL-26,음성인식 LED 홈등세트,2019년 12월 24일,"400,000",구입,케어라이프코리아㈜,2층 전시실 - ADL,폐기대상아님,정상,"1.원형방등
2.사각주방등
3.사각거실등
4.사용설명서","사각주방등 -> 지하
사각 거실등 -> 센터 창가 첫번째 등",
93,보조기기,일상생활, GWAT-19-ADL-27,음성인식 LED 무드등,2019년 12월 24일,"49,900",구입,케어라이프코리아㈜,2층 전시실 - ADL,폐기대상아님,정상,1. 음성인식LED 무드등 본체,,
94,보조기기,일상생활, GWAT-19-ADL-28,GYENNO Parkinson 스푼,2019년 12월 24일,"550,000",구입,케어라이프코리아㈜,2층 전시실 - ADL (수납장),폐기대상아님,정상,"1. 스푼
2.설명서
3. 스푼 헤드
4. 케이스",,
95,보조기기,일상생활, GWAT-19-ADL-29,소리알리미,2019년 12월 24일,"870,000",구입,케어라이프코리아㈜,2층 전시실 - ADL ,폐기대상아님,정상,"1. LED 스탠드
2. 무선 중계표시기
3. 사용 설명서 ",,
96,보조기기,일상생활, GWAT-19-ADL-30,Exgel standard Cushion,2019년 12월 24일,"170,000",구입,케어라이프코리아㈜,2층 전시실 - ADL ,폐기대상아님,정상,"1. Exgel standard Cushion 본체
2. 커버",,
97,보조기기,일상생활, GWAT-19-ADL-31,Exgel Owl Cushion,2019년 12월 24일,"219,000",구입,케어라이프코리아㈜,2층 전시실 - ADL ,폐기대상아님,정상,"1. Exgel Owl Cushion 본체
2. 커버",,
98,보조기기,운전,GWAT-19-AM-01,핸들봉 palm,2019년 12월 26일,"132,000",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
99,보조기기,운전,GWAT-19-AM-02,핸들봉 3pin,2019년 12월 26일,"334,400",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
100,보조기기,운전,GWAT-19-AM-03,핸들봉 single,2019년 12월 26일,"132,000",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
101,보조기기,운전,GWAT-19-AM-04,V-그립,2019년 12월 26일,"136,400",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
102,보조기기,운전,GWAT-19-AM-05,후크 그립,2019년 12월 26일,"104,500",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
103,보조기기,운전,GWAT-19-AM-06,핸들익스텐션,2019년 12월 26일,"783,750",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
104,보조기기,운전,GWAT-19-AM-07,사이드 서포트,2019년 12월 26일,"660,000",구입,㈜토탈모빌리티,2층 전시실 -AM,폐기대상아님,정상,본체,,
105,보조기기,환경개조, GWAT-19-EC-04,조립식 경사로 RAMP,2019년 12월 30일,"1,237,500",구입,㈜윤택이엔지,2층 전시실 -ADL,폐기대상아님,정상,본체,,
106,보조기기,환경개조, GWAT-19-EC-05,조립식 경사로 TIlE,2019년 12월 30일,"412,500",구입,㈜윤택이엔지,2층 전시실 -ADL,폐기대상아님,정상,본체,,
107,보조기기,환경개조, GWAT-19-EC-06,조립식 경사로 1/2 TILE,2019년 12월 30일,"412,500",구입,㈜윤택이엔지,2층 전시실 -ADL,폐기대상아님,정상,본체,,
108,보조기기,레저,GWAT-19-L-02,유아 훈련용자전거(HM1202),2019년 12월 30일,"2,450,000",구입,㈜윤택이엔지,2층 전시실 -ADL,폐기대상아님,정상,본체,,
109,보조기기,일상생활, GWAT-19-ADL-32,매너티목욕의자,2019년 12월 30일,"600,000",구입,㈜윤택이엔지,2층 전시실 -ADL,폐기대상아님,정상,본체,,
110,보조기기,일상생활, GWAT-19-ADL-33,매너티목욕의자 베이직프레임,2019년 12월 30일,"330,000",구입,㈜윤택이엔지,2층 전시실 -ADL,폐기대상아님,정상,본체,,
111,보조기기,레저,GWAT-19-L-03,스포츠형 휠체어,2019년 12월 30일,"5,017,300",구입,㈜윤택이엔지,2층 전시실 - WC,폐기대상아님,정상,본체,,
112,보조기기,의사소통,GWAT-21-AAC-01-1,스피치미러탭,2021년 12월 3일,"1,800,000",구입,㈜클루소프트,,폐기대상아님,정상,,,
113,보조기기,의사소통,GWAT-21-AAC-01-2,스피치미러탭,2021년 12월 3일,"1,800,000",구입,㈜클루소프트,,폐기대상아님,정상,,,
114,보조기기,감각,GWAT-21-S-01-1,센스원베이직,2021년 12월 7일,"2,500,000",구입,㈜엑스비전테크놀로지,2층 창고,폐기대상아님,정상,"노트북, 충전기, 설명서",,
115,보조기기,감각,GWAT-21-S-01-02,센스원베이직,2021년 12월 7일,"2,500,000",구입,㈜엑스비전테크놀로지,2층 창고,폐기대상아님,정상,"노트북, 충전기, 설명서",,
116,보조기기,감각,GWAT-21-S-02-1,"아이러뷰7
(휴대용독서확대기)",2021년 12월 7일,"1,180,000",구입,㈜씨앤피,상담실,폐기대상아님,정상,"아이러뷰7 본체, 충전기, 케이스, 설명서,
극세사 안경 닦이",,
117,보조기기,감각,GWAT-21-S-02-2,"아이러뷰7
대여 불가(분실) ",2021년 12월 7일,"1,180,000",구입,㈜씨앤피,,폐기대상아님,정상,,,
